track_id,track_name,artist_id,artist_name,album_id,duration,length,release_date,year,decade,popularity,popular,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist
4czNORk5MjW5WOn98bki32,All Night Long (All Night) - Single Version,3gMaNLQm7D9MornNILzdSl,Lionel Richie,1ET5QG3pd6NGqEFuZh0Qiz,258666,Short,1992-01-01,1992,1990s,71,1,0.748,0.603,1,-12.044,1,0.043,0.15,0.000261,0.0269,0.827,108.831,7gA7tNAZW9VykmyPPIat6N,Gym
5yR9u8QiOt8hJaddv32oo7,I Feel for You,6mQfAAqZGBzIfrmlZCeaYT,Chaka Khan,08yanJqA75TPyDowCXvvPU,343400,Long,1984,1984,1980s,63,1,0.698,0.912,11,-8.993,1,0.0675,0.0145,0.0222,0.279,0.797,124.916,7gA7tNAZW9VykmyPPIat6N,Gym
4y1LsJpmMti1PfRQV9AWWe,Girls Just Want to Have Fun,2BTZIqw0ntH9MvilQ3ewNY,Cyndi Lauper,1FvdZ1oizXwF9bxogujoF0,238266,Short,1983-10-14,1983,1980s,77,1,0.71,0.799,6,-4.897,1,0.0328,0.22,0.000602,0.349,0.725,120.372,7gA7tNAZW9VykmyPPIat6N,Gym
4yKZACkuudvfd600H2dQie,Get Down On It,3VNITwohbvU5Wuy5PC6dsI,Kool & The Gang,1rDjSDjjzVfpnsb3GgREFf,212906,Short,1999-03-01,1999,1990s,74,1,0.879,0.626,7,-6.344,1,0.0604,0.205,6.07e-05,0.056,0.968,110.864,7gA7tNAZW9VykmyPPIat6N,Gym
4r5VaK6H1bq0cTGPMTN97Z,Miss You Much,4qwGe91Bz9K2T8jXTZ815W,Janet Jackson,4OD3LU6001esAtFshDX46M,252333,Short,1989-09-19,1989,1980s,50,0,0.702,0.975,6,-7.968,0,0.0396,0.0305,0.000134,0.165,0.646,115.185,7gA7tNAZW9VykmyPPIat6N,Gym
0gFB5H3pHN13ERt2FyMuWi,It Takes Two,6vwFR7NilfrQ4AX0d41fWu,Rob Base & DJ EZ Rock,5tocCryeqWvFXn65seo0p6,300640,Long,1988-05-05,1988,1980s,59,1,0.8,0.723,2,-9.719,1,0.158,0.00228,0.0,0.26,0.651,111.593,7gA7tNAZW9VykmyPPIat6N,Gym
2sYLlZU3FuCF8SKNeIvdKA,Crush On You,3AHq6rutf72JF0ul8GB6G2,The Jets,1J0KuFjzTYeVLLV5Jqtan9,272493,Short,1998-01-01,1998,1990s,48,0,0.777,0.834,1,-10.851,1,0.0574,0.0209,0.0976,0.0446,0.967,120.332,7gA7tNAZW9VykmyPPIat6N,Gym
4XX1pFUkQOZTYp6Hb6a6Ae,Venus,3sc7iUG1Wwpwx7bHeZolgx,Bananarama,6CVuruIUWoYViZM97wgq9h,229164,Short,1986-01-01,1986,1980s,66,1,0.722,0.961,9,-4.812,1,0.0514,0.0883,0.61,0.278,0.91,126.113,7gA7tNAZW9VykmyPPIat6N,Gym
7t4rA2AxpG7yAhgRwopfn2,Groove Me,2IBPIcSkvQZyoaVfoyZKE8,Guy,1b4uW38DLtC6GlGr39AGHc,273760,Short,1988-01-01,1988,1980s,51,1,0.8,0.624,1,-13.931,1,0.0704,0.0217,0.0,0.496,0.784,107.932,7gA7tNAZW9VykmyPPIat6N,Gym
5RsUlxLto4NZbhJpqJbHfN,Jessie's Girl,6IFXsrXBpwbIqtOUOiAa3p,Rick Springfield,4KKFWTePKtgb6mOwFDqxYa,194120,Short,1981,1981,1980s,72,1,0.727,0.834,2,-5.851,1,0.0496,0.165,0.0,0.105,0.816,131.7,7gA7tNAZW9VykmyPPIat6N,Gym
5WwRKYnVy9dekqXAGPbAvU,He's the Greatest Dancer,6gkWznnJkdkwRPVcmnrays,Sister Sledge,4GSidaoqyGNwaG5mNKmuLT,375400,Long,1979-02-15,1979,1970s,64,1,0.7,0.816,7,-9.711,0,0.044,0.00115,0.00123,0.0901,0.838,113.244,7gA7tNAZW9VykmyPPIat6N,Gym
647q0KZHceDZTyLExHU0ue,I Can't Wait,2The4Ur661sLPGndcUuuLu,Nu Shooz,3V2uj3rLi0Y6McyB4Tw84n,218826,Short,2019-03-15,2019,2010s,56,1,0.785,0.844,7,-4.63,0,0.0574,0.166,0.002,0.0681,0.94,103.968,7gA7tNAZW9VykmyPPIat6N,Gym
46eu3SBuFCXWsPT39Yg3tJ,Don't Stop 'Til You Get Enough,3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,2ZytN2cY4Zjrr9ukb2rqTP,365466,Long,1979-08-10,1979,1970s,75,1,0.878,0.821,11,-9.875,1,0.089,0.126,0.0461,0.183,0.947,118.881,7gA7tNAZW9VykmyPPIat6N,Gym
1ot6jEe4w4hYnsOPjd3xKQ,I'm So Excited,2kreKea2n96dXjcyAU9j5N,The Pointer Sisters,4iqsNkST0v1aaL3S0Fd4XS,230640,Short,1982-02-01,1982,1980s,72,1,0.59,0.868,5,-5.832,0,0.048,0.0962,0.000322,0.442,0.798,184.348,7gA7tNAZW9VykmyPPIat6N,Gym
3koCCeSaVUyrRo3N2gHrd8,Let's Groove,4QQgXkCYTt3BlENzhyNETg,"Earth, Wind & Fire",1hj1SYbJYdXloRiSjsCLXg,339320,Long,1981-11-14,1981,1980s,74,1,0.869,0.648,11,-8.698,0,0.0633,0.121,2.17e-05,0.126,0.9,125.035,7gA7tNAZW9VykmyPPIat6N,Gym
51H2y6YrNNXcy3dfc3qSbA,When Doves Cry,5a2EaR3hamoenG9rDuVn8j,Prince,7nXJ5k4XgRj5OLg9m8V3zc,352906,Long,1984-06-25,1984,1980s,72,1,0.729,0.989,9,-4.613,0,0.049,0.0102,4.45e-05,0.443,0.84,126.47,7gA7tNAZW9VykmyPPIat6N,Gym
2tUBqZG2AbRi7Q0BIrVrEj,I Wanna Dance with Somebody (Who Loves Me),6XpaIBNiVzIetEPCWDvAFP,Whitney Houston,5Vdzprr5cOqXQo44eHeV7t,291293,Short,1987-06-02,1987,1980s,82,1,0.709,0.824,1,-8.824,1,0.0453,0.207,0.000307,0.0888,0.867,118.818,7gA7tNAZW9VykmyPPIat6N,Gym
3qI94hINNNeb4S7xQi18lS,Blame It on the Boogie,2yrbLiuBmc9j81lTX3XUuI,The Jacksons,46yTC334aJI4QTv4lkzj3a,214200,Short,1978-12-17,1978,1970s,70,1,0.774,0.641,1,-10.193,1,0.0799,0.0765,0.0,0.0867,0.875,113.256,7gA7tNAZW9VykmyPPIat6N,Gym
3YVPpVJvJG2EauXurPA90F,Tell It to My Heart,32lVGr0fSRGT6okLKHiP68,Taylor Dayne,2hlHv54WpTInFIRMk3Hwjk,220880,Short,1988-01-19,1988,1980s,67,1,0.638,0.988,1,-5.042,1,0.0921,0.0302,1.16e-05,0.371,0.723,117.955,7gA7tNAZW9VykmyPPIat6N,Gym
53Za5vyGc1x7GxgJVRjRKc,Ain't Nobody,3MCjwjfIor5FkK3h639qkW,Rufus,3j0kxKahatiR5d0sPPtTjP,285573,Short,1983,1983,1980s,64,1,0.808,0.623,10,-15.805,0,0.0463,0.216,0.000396,0.0782,0.767,104.299,7gA7tNAZW9VykmyPPIat6N,Gym
4uLU6hMCjMI75M1A2tKUQC,Never Gonna Give You Up,0gxyHStUsqpMadRV0Di1Qt,Rick Astley,6N9PS4QXF1D0OWPk0Sxtb4,213573,Short,1987-11-12,1987,1980s,59,1,0.721,0.939,8,-11.823,1,0.0376,0.115,3.79e-05,0.108,0.914,113.309,7gA7tNAZW9VykmyPPIat6N,Gym
7LoGfKBAaOl0nxhodJ1240,Word Up,545idYhdloaSlLGBY8E9u2,Cameo,1W8kHQQC7DXg1inR7ZWqhA,260000,Short,1986-01-01,1986,1980s,65,1,0.878,0.84,6,-13.105,0,0.064,0.0421,0.0035,0.053,0.882,116.222,7gA7tNAZW9VykmyPPIat6N,Gym
1TfqLAPs4K3s2rJMoCokcS,Sweet Dreams (Are Made of This) - Remastered,0NKDgy9j66h3DLnN8qu1bB,Eurythmics,5jNDWA19BJbE24x1UUJGRY,216933,Short,1983-01-04,1983,1980s,81,1,0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135,7gA7tNAZW9VykmyPPIat6N,Gym
2wSAWEYUHkt92X4SBAPqZE,Karma Chameleon - Remastered 2002,6kz53iCdBSqhQCZ21CoLcc,Culture Club,51NPMfa9QfxsYtqzcB2VfY,252773,Short,1983-10-01,1983,1980s,73,1,0.668,0.73,10,-7.182,1,0.0366,0.225,0.0,0.188,0.894,92.049,7gA7tNAZW9VykmyPPIat6N,Gym
1kIu9zpYtWjgrLlsactlna,Jump (Original Mix),2kreKea2n96dXjcyAU9j5N,The Pointer Sisters,6h1sv7NHAZA7tiErfICYLM,262560,Short,1983-04-01,1983,1980s,65,1,0.846,0.826,10,-7.909,0,0.098,0.0867,0.0,0.12,0.813,134.454,7gA7tNAZW9VykmyPPIat6N,Gym
2WfaOiMkCvy7F5fcp2zZ8L,Take on Me,2jzc5TC5TVFLXQlBNiIUzE,a-ha,1ER3B6zev5JEAaqhnyyfbf,225280,Short,1985-06-01,1985,1980s,85,1,0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,7gA7tNAZW9VykmyPPIat6N,Gym
3nFJbZCHP4d9vduKjJLdBL,Never Too Much,19y5MFBH7gohEdGwKM7QsP,Luther Vandross,1B4oPgG5ljWTRxsKcTHAYn,230466,Short,1981-07-23,1981,1980s,72,1,0.734,0.586,2,-11.866,1,0.129,0.125,0.0,0.0367,0.762,109.933,7gA7tNAZW9VykmyPPIat6N,Gym
3ErsOxqe2RmXkR65wkygDz,What's Love Got to Do with It - 2015 Remaster,1zuJe6b1roixEKMOtyrEak,Tina Turner,7gVHUNPQr0AE2A0Yf5MjqR,230240,Short,1984-05-29,1984,1980s,64,1,0.855,0.48,1,-8.902,1,0.0588,0.254,2.16e-05,0.151,0.798,97.793,7gA7tNAZW9VykmyPPIat6N,Gym
4RvWPyQ5RL0ao9LPZeSouE,Everybody Wants To Rule The World,4bthk9UfsYUYdcFyqxmSUU,Tears For Fears,3myPwaMYjdwhtq0nFgeG6W,251488,Short,1985-02-25,1985,1980s,83,1,0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067,7gA7tNAZW9VykmyPPIat6N,Gym
3L7RtEcu1Hw3OXrpnthngx,Don't You Want Me,1aX2dmV8XoHYCOQRxjPESG,The Human League,3ls7tE9D2SIvjTmRuEtsQY,236920,Short,1981,1981,1980s,75,1,0.731,0.738,9,-8.125,0,0.0377,0.184,0.0,0.214,0.958,117.656,7gA7tNAZW9VykmyPPIat6N,Gym
2m0M7YqCy4lXfedh18qd8N,Into the Groove,6tbjWDEIzxoDsBA1FuhfPW,Madonna,43lok9zd7BW5CoYkXZs7S0,285093,Short,2009-09-18,2009,2000s,64,1,0.729,0.856,10,-4.164,0,0.035,0.0658,0.00832,0.0691,0.804,116.467,7gA7tNAZW9VykmyPPIat6N,Gym
4VyU9Tg4drTj2mOUZHSK2u,"Let's Hear It for the Boy - From ""Footloose"" Original Soundtrack",5jNGQ7VOU87x5402JjhTtd,Deniece Williams,5SQ28k8Esr8yY55ZKvgC5u,262440,Short,2016-04-01,2016,2010s,66,1,0.808,0.485,0,-8.829,1,0.056,0.0761,0.00414,0.0477,0.714,122.659,7gA7tNAZW9VykmyPPIat6N,Gym
5yGTQzYbEdY6B9RFZJypgt,Rhythm Of The Night,6is2U7I1jlI8PjxNZOHIMV,DeBarge,13xiHt25Hn4WZ6OLzhK1n8,229106,Short,1985,1985,1980s,65,1,0.707,0.759,11,-12.328,0,0.046,0.0769,2.84e-05,0.0775,0.955,115.142,7gA7tNAZW9VykmyPPIat6N,Gym
3tyTt5pEWblt96j1HsXiV5,Freedom! '90 - Remastered,19ra5tSw0tWufvUp8GotLo,George Michael,0ZeOyoJHPD6czbTPAT9Qaj,390861,Long,2017-10-20,2017,2010s,69,1,0.677,0.852,5,-10.856,1,0.045,0.225,3.95e-05,0.0595,0.93,91.691,7gA7tNAZW9VykmyPPIat6N,Gym
6sT9MWlJManry3EQwf4V80,Push It,7wqtxqI3eo7Gn1P7SpP6cQ,Salt-N-Pepa,5QFYPgLGw6DYz8S3TrLM2d,272133,Short,1986-12-08,1986,1980s,68,1,0.913,0.596,11,-12.477,0,0.0707,0.00658,0.00349,0.078,0.973,127.215,7gA7tNAZW9VykmyPPIat6N,Gym
5LYJ631w9ps5h9tdvac7yP,Easy Lover,6ZNeppgfBLPUyugks9Yn1u,Philip Bailey,59RsiGLQVyFHiFn2K5VNvX,305866,Long,1984-10-01,1984,1980s,68,1,0.74,0.923,1,-5.082,1,0.0369,0.105,0.000163,0.0825,0.93,128.871,7gA7tNAZW9VykmyPPIat6N,Gym
6ztstiyZL6FXzh4aG46ZPD,Boogie Wonderland,4QQgXkCYTt3BlENzhyNETg,"Earth, Wind & Fire",4RLVTxnuVN5ZWZqBFnaaQt,288293,Short,1979-06,1979,1970s,74,1,0.802,0.756,2,-10.791,0,0.0349,0.0843,0.00765,0.0521,0.963,131.715,7gA7tNAZW9VykmyPPIat6N,Gym
7j74lucZ59vqN67Ipe2ZcY,Maneater,77tT1kLj6mCWtFNqiOmP9H,Daryl Hall & John Oates,7ygXmT175bKbOpiPjNwXOB,273173,Short,1982-10-04,1982,1980s,74,1,0.724,0.498,11,-13.083,0,0.0423,0.0405,8.56e-05,0.0761,0.823,88.825,7gA7tNAZW9VykmyPPIat6N,Gym
2fXwCWkh6YG5zU1IyvQrbs,Broken Clocks,7tYKF4w9nC0nq9CsPZTHyP,SZA,76290XdXVF9rPzGdNRWdCh,231253,Short,2017-06-09,2017,2010s,76,1,0.692,0.684,6,-7.364,1,0.155,0.131,0.0,0.156,0.406,112.912,7gA7tNAZW9VykmyPPIat6N,Gym
2I88NEWpKrAPZuapXNV5G6,Belong to You (feat. 6LACK),30DhU7BDmF4PH0JVhu8ZRg,Sabrina Claudio,2ICdqEf91Kc9FwdlLtB748,185617,Short,2017-10-05,2017,2010s,67,1,0.605,0.553,10,-10.845,0,0.101,0.274,0.0152,0.184,0.62,152.076,7gA7tNAZW9VykmyPPIat6N,Gym
4OBZT9EnhYIV17t4pGw7ig,Best Part (feat. Daniel Caesar),3Y7RZ31TRPVadSFVy1o8os,H.E.R.,0pV0Mx07aMApIpF19oSQgY,209400,Short,2017-10-20,2017,2010s,77,1,0.473,0.371,4,-10.219,0,0.0405,0.795,0.0,0.109,0.413,75.208,7gA7tNAZW9VykmyPPIat6N,Gym
2EznBGrlmx9wBeYgyDojsA,I Like That,6ueGR6SWhUJfvEhqkvMsVs,Janelle Monáe,2PjlaxlMunGOUvcRzlTbtE,200338,Short,2018-04-27,2018,2010s,62,1,0.482,0.453,0,-8.864,1,0.059,0.0323,0.00243,0.149,0.17,134.799,7gA7tNAZW9VykmyPPIat6N,Gym
2Z71PZlOeF9YVze4hy1A1a,Savage Remix (feat. Beyoncé),181bsRPaVXVlUKXrxwZfHK,Megan Thee Stallion,0KjckH1EE6HRRurMIXSc0r,242000,Short,2020-11-20,2020,2020s,68,1,0.753,0.745,10,-4.776,0,0.334,0.0159,0.0,0.127,0.635,169.02,7gA7tNAZW9VykmyPPIat6N,Gym
46aopTu45teng25ROkoeXk,Invitation (feat. Kodie Shane),3PyJHH2wyfQK3WZrk9rpmP,Ashnikko,3UScUhqhOIpRVeYhKHSxSe,159140,Short,2018-11-23,2018,2010s,63,1,0.592,0.654,8,-6.91,0,0.146,0.0337,0.0,0.135,0.816,128.013,7gA7tNAZW9VykmyPPIat6N,Gym
04aAxqtGp5pv12UXAg4pkq,Centuries,4UXqAaa6dQYAk18Lv7PEgX,Fall Out Boy,022DrG7Wp2PSCwzuD0bSzT,228360,Short,2015-01-20,2015,2010s,81,1,0.393,0.858,4,-2.868,0,0.0729,0.00359,0.0,0.102,0.56,176.042,7gA7tNAZW9VykmyPPIat6N,Gym
7jwDuO7UZvWs77KNj9HbvF,The Phoenix,4UXqAaa6dQYAk18Lv7PEgX,Fall Out Boy,5jKMfS57mHTHzlSFGfPFxU,244960,Short,2013-01-01,2013,2010s,69,1,0.562,0.964,4,-2.991,0,0.072,0.000539,1.57e-06,0.579,0.41,138.063,7gA7tNAZW9VykmyPPIat6N,Gym
73xjJ1TIE6WP3HNKczQE4F,Moonwalking in Calabasas (feat. Blueface) - Remix,0WK3H9OErSn5zKOkOV5egm,DDG,4TzzpYnIMI8opSO9koKKVG,170232,Short,2021-03-19,2021,2020s,70,1,0.925,0.322,11,-9.8,0,0.112,0.103,0.0,0.137,0.712,129.957,7gA7tNAZW9VykmyPPIat6N,Gym
3BVC9lRwjgKrWwDxgFAKA8,Anti,2TImI3DW7o5MdRXJs4D37h,SOB X RBE,6ztEEOoAi6xyYhiiDn3gxc,169017,Short,2017-01-23,2017,2010s,58,1,0.702,0.785,7,-6.842,0,0.743,0.321,0.0,0.0682,0.647,132.857,7gA7tNAZW9VykmyPPIat6N,Gym
1HeAm7PJPUhunseNElZvBj,Work That,181bsRPaVXVlUKXrxwZfHK,Megan Thee Stallion,0KjckH1EE6HRRurMIXSc0r,134723,Short,2020-11-20,2020,2020s,56,1,0.756,0.711,1,-4.051,1,0.242,0.00376,0.0,0.284,0.447,184.93,7gA7tNAZW9VykmyPPIat6N,Gym
6eBrlbv2HMYcldwjoMWIrC,Pipe It Up,6oMuImdp5ZcFhWP0ESe6mG,Migos,0sv4nM5FtA8Y3DrvG4CXH8,206266,Short,2015-07-31,2015,2010s,52,1,0.92,0.731,4,-4.996,0,0.274,0.181,0.0,0.121,0.476,132.086,7gA7tNAZW9VykmyPPIat6N,Gym
6UjfByV1lDLW0SOVQA4NAi,Gyalchester,3TVXtAsR1Inumwj472S9r4,Drake,1lXY618HWkwYKJWBRYR4MK,189229,Short,2017-03-18,2017,2010s,69,1,0.877,0.391,1,-8.196,1,0.063,0.0317,0.000502,0.0945,0.122,131.018,7gA7tNAZW9VykmyPPIat6N,Gym
